github.com/AlDanial/cloc v 1.98  T=0.23 s (903.6 files/s, 281368.4 lines/s)
---------------------------------------------------------------------------------------------------------
File                                                                  blank        comment           code
./lib/src/game_hud/index.dart                                             0              0              4
./lib/src/modpack/index.dart                                              0              0              4
./lib/src/task/index.dart                                                 0              0              4
./lib/src/ui/theme/index.dart                                             0              0              4
./lib/src/version/index.dart                                              0              0              4
./analysis_options.yaml                                                   3             22              3
./lib/src/account/index.dart                                              1              3              3
./lib/src/game/java/index.dart                                            0              2              3
./lib/src/loader/index.dart                                               0              0              3
./lib/src/event/index.dart                                                0              0              2
./lib/src/extension/index.dart                                            0              0              2
./lib/src/updater/index.dart                                              0              0              1
---------------------------------------------------------------------------------------------------------
SUM:                                                                   7112           3109          54236
---------------------------------------------------------------------------------------------------------
